date,sea level
1970-12-31,1662.8191780821917
1971-12-31,1670.7780821917809
1972-12-31,1700.1612021857923
1973-12-31,1747.717808219178
1974-12-31,1702.2410958904109
1975-12-31,1721.0
1976-12-31,1644.568306010929
1977-12-31,1656.9561643835616
1978-12-31,1674.7232876712328
1979-12-31,1655.109589041096
1980-12-31,1668.7295081967213
1981-12-31,1641.9150684931508
1982-12-31,1679.2219178082191
1983-12-31,1745.0027397260274
1984-12-31,1716.6311475409836
1985-12-31,1704.7232876712328
1986-12-31,1727.3342465753424
1987-12-31,1706.7780821917809
1988-12-31,1671.5136612021859
1989-12-31,1681.2
1990-12-31,1719.4794520547946
1991-12-31,1774.9698630136986
1992-12-31,1749.22131147541
1993-12-31,1743.331506849315
1994-12-31,1733.0575342465754
1995-12-31,1787.2794520547945
1996-12-31,1701.5027322404371
1997-12-31,1759.7232876712328
1998-12-31,1730.8383561643836
1999-12-31,1800.9424657534246
2000-12-31,1770.9453551912568
2001-12-31,1736.386301369863
2002-12-31,1752.0958904109589
2003-12-31,1732.6383561643836
2004-12-31,1715.6284153005465
2005-12-31,1786.1013698630136
2006-12-31,1741.3424657534247
2007-12-31,1772.509589041096
2008-12-31,1748.311475409836
2009-12-31,1786.7013698630137
2010-12-31,1762.1068493150685
2011-12-31,1762.158904109589
2012-12-31,1805.1612021857923
2013-12-31,1805.2027397260274
2014-12-31,1862.6493150684933
2015-12-31,1874.3561643835617
2016-12-31,1876.535519125683
2017-12-31,1838.6876712328767
2018-12-31,1836.972602739726
2019-12-31,1927.7013698630137
2020-12-31,1913.3715846994535
2021-12-31,1891.7671232876712
2022-12-31,1918.8931506849315
2023-12-31,1945.835616438356
2024-12-31,1911.7868852459017
